date,rt,RV,delta_alpha_T252
2021-04-28,-0.604547,1.336458,1.322023
2021-04-29,-0.074890,4.100547,1.219845
2021-04-30,-1.524903,1.155697,1.225352
2021-05-03,0.818186,1.017882,1.170079
2021-05-04,-3.602678,1.835437,1.166638
2021-05-05,0.195351,1.104411,1.388355
2021-05-06,1.272124,2.133218,1.325106
2021-05-07,0.361608,0.907297,1.292330
2021-05-10,-2.614325,0.793976,1.169088
2021-05-11,-0.743792,2.657616,1.204325
2021-05-12,-2.525468,1.773599,1.146460
2021-05-13,1.776102,2.173245,1.168062
2021-05-14,1.965042,1.140668,1.128640
2021-05-17,-0.930166,0.887567,1.245657
2021-05-18,-1.130945,0.827923,1.058047
2021-05-19,-0.128236,1.928360,1.112743
2021-05-20,2.079440,0.703757,1.159722
2021-05-21,-1.487722,1.092993,1.116058
2021-05-24,1.322634,0.471602,1.097388
2021-05-25,-0.157480,0.683183,1.117461
2021-05-26,-0.039409,0.296175,1.103617
2021-05-27,-1.245405,0.670480,1.079796
2021-05-28,-0.536237,0.715997,0.960346
2021-06-01,-0.265178,0.635482,1.116655
2021-06-02,0.625654,0.627317,1.144015
2021-06-03,-1.222863,0.898476,1.194797
2021-06-04,1.884352,0.667445,1.366189
2021-06-07,0.007943,0.537059,1.335014
2021-06-08,0.664980,1.552239,1.177472
2021-06-09,0.307244,0.584804,1.246331
2021-06-10,-0.805564,0.774801,1.156561
2021-06-11,0.978466,0.434539,1.309895
2021-06-14,2.428076,1.286579,1.320647
2021-06-15,-0.645858,0.807177,1.251681
2021-06-16,0.392625,1.910611,1.297985
2021-06-17,1.252212,1.342921,1.269882
2021-06-18,-1.014308,0.942146,1.218350
2021-06-21,1.400540,0.966836,1.255728
2021-06-22,1.261846,0.562921,1.258145
2021-06-23,-0.209205,0.625479,1.298675
2021-06-24,-0.217139,0.422577,1.311203
2021-06-25,-0.225124,0.328666,1.340958
2021-06-28,1.246797,0.462039,1.204565
2021-06-29,1.143460,0.466086,1.090717
2021-06-30,0.461050,0.663001,0.952431
2021-07-01,0.226088,0.623166,1.033201
2021-07-02,1.940688,0.471751,0.995635
2021-07-06,1.461123,2.525225,1.080040
2021-07-07,1.779593,1.574885,1.035738
2021-07-08,-0.924227,3.157423,1.039343
2021-07-09,1.297053,0.752379,1.210044
2021-07-12,-0.421257,1.123768,1.062949
2021-07-13,0.785832,2.364584,0.965989
2021-07-14,2.381469,1.399105,0.937733
2021-07-15,-0.450224,2.306710,0.941508
2021-07-16,-1.417598,1.206999,1.045616
2021-07-19,-2.728323,2.117588,0.978365
2021-07-20,2.564243,1.140945,0.964227
2021-07-21,-0.514493,0.832978,0.992374
2021-07-22,0.958255,0.885421,1.116986
2021-07-23,1.191780,0.373549,0.980166
2021-07-26,0.289027,0.994372,1.057035
2021-07-27,-1.501245,1.527769,1.029835
2021-07-28,-1.227093,3.332864,1.064437
2021-07-29,0.454202,0.442949,1.060015
2021-07-30,0.150943,0.763526,1.005726
2021-08-02,-0.233372,0.919964,1.094321
2021-08-03,1.256504,1.224026,1.030690
