date,rt,RV,delta_alpha_T252
2013-02-05,3.421796,1.418106,0.720003
2013-02-06,-0.122399,4.977594,0.629837
2013-02-07,2.360170,3.837426,0.705580
2013-02-08,1.425202,1.719939,0.754932
2013-02-11,1.055728,1.489910,1.021967
2013-02-12,-2.540757,3.542161,1.097599
2013-02-13,-0.179695,4.059422,0.983667
2013-02-14,-0.119976,1.298976,0.883620
2013-02-15,-1.390170,0.832233,0.945208
2013-02-19,0.000000,2.311477,0.844722
2013-02-20,-2.464697,1.256736,0.854033
2013-02-21,-0.625784,1.802770,0.824447
2013-02-22,1.061515,0.864735,0.907610
2013-02-25,-1.817662,1.026032,0.663123
2013-02-26,1.381932,3.855942,0.732947
2013-02-27,-0.940151,4.825626,0.769798
2013-02-28,-0.758537,1.071661,0.797422
2013-03-01,-2.505753,1.542844,0.896618
2013-03-04,-2.436736,1.703138,0.859282
2013-03-05,2.631731,3.352678,0.738664
2013-03-06,-1.307208,1.879011,0.648863
2013-03-07,1.177254,1.938629,0.630460
2013-03-08,0.259740,2.225232,0.669832
2013-03-11,1.416637,2.226983,0.581307
2013-03-12,-2.197891,2.347468,0.538880
2013-03-13,0.000000,1.867012,0.556371
2013-03-14,0.975617,0.683384,0.571206
2013-03-15,2.556050,1.344950,0.539211
2013-03-18,2.676786,1.544908,0.581214
2013-03-19,-0.307598,2.143944,0.555562
2013-03-20,-0.494133,1.124556,0.504952
2013-03-21,0.123762,1.169867,0.442039
2013-03-22,2.020271,0.818408,0.600745
2013-03-25,0.362977,2.329601,0.528295
2013-03-26,-0.544960,0.651872,0.709852
2013-03-27,-1.962049,0.542136,0.567011
2013-03-28,-2.127740,0.941134,0.618234
2013-04-01,-3.148349,1.999308,0.648406
2013-04-02,0.195631,3.098605,0.651698
2013-04-03,0.519819,1.578894,0.573623
2013-04-04,-0.976888,1.362425,0.492718
2013-04-05,-1.118801,0.791546,0.467349
2013-04-08,0.725358,0.899552,0.593023
2013-04-09,0.196915,0.796195,0.479190
2013-04-10,2.012402,1.203092,0.564488
2013-04-11,-0.321854,1.067982,0.586195
2013-04-12,-1.036950,0.519427,0.549409
2013-04-15,-2.373216,0.867620,0.736161
2013-04-16,1.522704,1.015282,0.794147
2013-04-17,-5.607683,5.084142,0.732949
2013-04-18,-2.747619,3.490358,0.680988
2013-04-19,-0.357782,4.268989,0.515252
2013-04-22,2.057540,2.759687,0.742122
2013-04-23,1.809374,3.096248,0.742767
2013-04-24,-0.138026,10.241774,0.762875
2013-04-25,0.688234,2.081595,0.739895
2013-04-26,2.171049,1.227629,0.715316
2013-04-29,3.040551,1.820580,0.661068
2013-04-30,2.887592,2.397358,0.809179
2013-05-01,-0.761908,2.345472,0.933072
2013-05-02,1.392428,0.982835,1.060338
2013-05-03,1.000634,0.397399,0.806387
2013-05-06,2.337130,0.777449,0.915394
2013-05-07,-0.426440,2.271417,0.810899
2013-05-08,1.153275,1.070357,0.949317
2013-05-09,-1.581541,1.556017,1.045437
2013-05-10,-0.800250,1.323707,0.996722
2013-05-13,0.370142,0.758937,0.944936
2013-05-14,-2.430783,1.935519,0.953089
2013-05-15,-3.401034,4.019136,1.012064
2013-05-16,1.297035,3.251437,1.172282
2013-05-17,-0.322685,1.504716,1.105817
2013-05-20,2.237230,2.496613,1.264614
2013-05-21,-0.761425,2.983780,1.164740
2013-05-22,0.381437,2.155415,1.069787
2013-05-23,0.190174,2.029284,1.010797
2013-05-24,0.694228,0.599997,0.952227
2013-05-28,-0.820971,1.745479,0.963044
2013-05-29,0.758058,0.892030,0.920753
2013-05-30,1.499091,1.089073,0.797681
2013-05-31,-0.434918,0.840666,0.874590
2013-06-03,0.248756,1.853410,0.839899
2013-06-04,-0.311042,1.329848,0.972853
2013-06-05,-0.938974,1.348125,0.657458
2013-06-06,-1.520942,1.820278,0.580994
2013-06-07,0.763362,1.617970,0.502243
2013-06-10,-0.699526,3.678709,0.474286
2013-06-11,-0.255591,1.384524,0.324072
2013-06-12,-1.223060,1.274521,0.359623
2013-06-13,0.838444,1.895647,0.337496
2013-06-14,-1.357926,0.751821,0.276266
2013-06-17,0.454694,1.183868,0.305287
2013-06-18,-0.064830,0.523169,0.374353
2013-06-19,-2.030859,0.876445,0.422847
2013-06-20,-1.466693,1.537838,0.568095
2013-06-21,-0.809175,2.314465,0.608031
2013-06-24,-2.675974,2.408962,0.551880
2013-06-25,0.000000,1.891900,0.499329
2013-06-26,-1.118893,1.500517,0.474257
2013-06-27,-1.131554,1.482411,0.449214
2013-06-28,0.708720,1.915078,0.430893
2013-07-01,3.196937,1.737138,0.454782
2013-07-02,2.232085,2.175490,0.717817
2013-07-03,0.533690,1.026566,0.672683
2013-07-05,-0.801607,0.941635,0.747523
2013-07-08,-0.605451,1.481591,0.764736
2013-07-09,1.739174,1.719175,0.674491
2013-07-10,-0.332116,2.104054,0.649203
2013-07-11,1.518682,0.774575,0.669129
2013-07-12,-0.196786,1.294747,0.606230
2013-07-15,0.262295,0.835471,0.721448
2013-07-16,0.587661,0.823022,0.611836
2013-07-17,0.065083,0.529456,0.872838
2013-07-18,0.324781,0.565915,0.849321
2013-07-19,-1.568660,1.076405,0.982879
2013-07-22,0.328839,0.545365,0.956403
